"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"      Fees for participant sports                           ","SE",0.34,0.19,0.06,0.79,0.19,0.2,0.29,0.25,0.27,0.93
"      Fees for recreational lessons                         ","MEAN",1.89,0,0.06,0.07,0.06,0.45,0.55,0.6,0.97,4.51
"      Fees for recreational lessons                         ","SE",0.43,0,0.05,0.05,0.05,0.24,0.28,0.21,0.4,1.22
"    Audio and visual equipment and services                 ","MEAN",14,6.2,7.63,6.76,11.19,10.53,12.34,11.8,16.27,18.44
"    Audio and visual equipment and services                 ","SE",0.59,1,1.49,1.17,1.24,0.91,1.43,1.2,1.36,1.07
"      Stereos, radios, speakers, and sound components       ","MEAN",0.23,0.08,0,0,0.33,0.03,0.19,0.58,0.09,0.34
"      Stereos, radios, speakers, and sound components       ","SE",0.06,0.07,0,0,0.21,0.03,0.09,0.33,0.04,0.14
"      Cable and satellite television services               ","MEAN",11.56,5.28,6.72,6.28,10.3,9.48,9.34,9.76,12.71,15.14
"      Cable and satellite television services               ","SE",0.41,0.94,1.37,1.16,1.25,0.86,1,1,1.05,0.73
"      Phonographs                                           ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Digital media players and recorders                   ","MEAN",0.01,0,0,0,0,0.03,0,0,0.02,0.02
"      Digital media players and recorders                   ","SE",0.01,0,0,0,0,0.03,0,0,0.02,0.02
"      Miscellaneous sound equipment                         ","MEAN",0.23,0,0,0.04,0.13,0.02,0.21,0.12,0,0.51
"      Miscellaneous sound equipment                         ","SE",0.18,0,0,0.04,0.13,0.04,0.12,0.09,0,0.53
"      Miscellaneous video equipment                         ","MEAN",0.13,0.03,0.25,0.04,0.03,0.03,0.04,0.09,0.21,0.19
"      Miscellaneous video equipment                         ","SE",0.02,0.03,0.14,0.04,0.02,0.02,0.02,0.06,0.09,0.06
"      Sound equipment accessories                           ","MEAN",0.36,0.24,0.13,0.1,0.07,0.05,0.14,0.13,1.21,0.36
"      Sound equipment accessories                           ","SE",0.15,0.18,0.09,0.08,0.04,0.02,0.11,0.04,0.93,0.1
"      Video cassettes, tapes, and discs                     ","MEAN",0.5,0.32,0.04,0.15,0.2,0.27,0.74,0.37,0.55,0.69
"      Video cassettes, tapes, and discs                     ","SE",0.04,0.2,0.03,0.06,0.07,0.08,0.23,0.11,0.13,0.08
"      Video game software                                   ","MEAN",0.06,0,0.04,0,0,0.24,0.08,0,0.09,0.04
"      Video game software                                   ","SE",0.03,0,0.04,0,0,0.18,0.06,0,0.07,0.02
"      Video game hardware and accessories                   ","MEAN",0.92,0.24,0.46,0.15,0.13,0.39,1.6,0.75,1.38,1.14
"      Video game hardware and accessories                   ","SE",0.17,0.13,0.25,0.09,0.09,0.15,0.86,0.25,0.6,0.29
"    Pets, toys, hobbies, and playground equipment           ","MEAN",10.06,3.98,4.86,5.19,5.52,4.87,7.96,8.5,9.64,15.81
"    Pets, toys, hobbies, and playground equipment           ","SE",0.5,0.93,1.65,0.98,0.88,0.48,1.28,0.99,1.11,1.07
"      Pets                                                  ","MEAN",7.73,2.53,4.31,4,4.47,4.01,6.28,5.71,8.13,11.88
"      Pets                                                  ","SE",0.51,0.78,1.64,0.84,0.81,0.48,1.15,0.84,1.13,1.14
"        Pet food                                            ","MEAN",3.65,1.65,1.77,2.05,2.26,2.43,3.34,3.06,3.89,5.13
"        Pet food                                            ","SE",0.22,0.49,0.38,0.54,0.44,0.33,0.97,0.34,0.32,0.39
"        Pet purchase, supplies, medicine                    ","MEAN",1.41,0.4,1.57,1.67,0.55,0.82,0.61,1.05,1.37,2.17
"        Pet purchase, supplies, medicine                    ","SE",0.13,0.18,1.01,0.81,0.15,0.18,0.12,0.2,0.27,0.24
"        Vet services                                        ","MEAN",2.67,0.48,0.97,0.28,1.66,0.76,2.33,1.59,2.88,4.58
"        Vet services                                        ","SE",0.35,0.49,0.98,0.18,0.73,0.36,0.56,0.58,0.86,0.82
"      Toys, games, arts and crafts, and tricycles           ","MEAN",2.32,1.45,0.56,1.19,1.05,0.86,1.68,2.76,1.5,3.92
"      Toys, games, arts and crafts, and tricycles           ","SE",0.14,0.51,0.22,0.39,0.29,0.17,0.49,0.69,0.17,0.31
"      Playground equipment                                  ","MEAN",0.01,0,0,0,0,0,0,0.03,0.01,0.01
"      Playground equipment                                  ","SE",0,0,0,0,0,0,0,0.03,0.01,0.01
"    Other entertainment supplies, equipment, and services   ","MEAN",2.84,0.39,0.52,0.6,0.22,1.7,0.96,1.48,2.11,5.81
"    Other entertainment supplies, equipment, and services   ","SE",0.45,0.2,0.33,0.27,0.07,0.79,0.29,0.43,0.58,1.18
"      Sports, recreation and exercise equipment             ","MEAN",2,0.35,0.27,0.4,0.16,1.61,0.59,1.09,1.81,3.81
"      Sports, recreation and exercise equipment             ","SE",0.21,0.19,0.19,0.23,0.06,0.79,0.16,0.42,0.57,0.47
"        Athletic gear, game tables, and exercise equipment  ","MEAN",0.94,0.23,0,0.02,0.02,0.13,0.32,0.79,0.79,1.99
"        Athletic gear, game tables, and exercise equipment  ","SE",0.16,0.18,0,0.02,0.02,0.05,0.13,0.41,0.53,0.37
"        Camping equipment                                   ","MEAN",0.28,0.04,0.13,0.09,0.06,0.06,0.11,0.14,0.51,0.44
"        Camping equipment                                   ","SE",0.06,0.04,0.14,0.07,0.04,0.03,0.04,0.06,0.24,0.11
"        Hunting and fishing equipment                       ","MEAN",0.67,0.08,0.13,0.29,0.08,1.42,0.16,0.16,0.38,1.11
"        Hunting and fishing equipment                       ","SE",0.15,0.06,0.13,0.21,0.04,0.79,0.09,0.05,0.14,0.3
"        Global positioning system devices                   ","MEAN",0.11,0,0,0,0,0,0,0,0.12,0.27
"        Global positioning system devices                   ","SE",0.06,0,0,0,0,0,0,0,0.09,0.16
"      Photographic equipment, supplies and services         ","MEAN",0.67,0.04,0,0.18,0.06,0.06,0.08,0.06,0.24,1.72
"      Photographic equipment, supplies and services         ","SE",0.39,0.05,0,0.18,0.05,0.04,0.04,0.06,0.08,1.1
"        Other photographic supplies                         ","MEAN",0,0,0,0,0,0.01,0,0,0,0
"        Other photographic supplies                         ","SE",0,0,0,0,0,0.01,0,0,0,0
"        Photographer fees                                   ","MEAN",0.67,0.04,0,0.18,0.06,0.05,0.08,0.06,0.24,1.72
"        Photographer fees                                   ","SE",0.39,0.05,0,0.18,0.05,0.04,0.04,0.06,0.08,1.1
"      Fireworks                                             ","MEAN",0.1,0,0,0,0,0.02,0.26,0.18,0.04,0.14
"      Fireworks                                             ","SE",0.04,0,0,0,0,0.01,0.24,0.13,0.04,0.07
"      Souvenirs                                             ","MEAN",0.02,0,0.25,0,0,0,0.01,0.01,0.01,0.02
"      Souvenirs                                             ","SE",0.01,0,0.27,0,0,0,0.01,0.01,0.01,0.01
"      Visual goods                                          ","MEAN",0.02,0,0,0,0,0,0.01,0.02,0.01,0.05
"      Visual goods                                          ","SE",0.01,0,0,0,0,0,0,0.02,0,0.03
"      Pinball, electronic video games                       ","MEAN",0.04,0,0,0.02,0,0.01,0.01,0.11,0,0.07
"      Pinball, electronic video games                       ","SE",0.01,0,0,0.01,0,0.01,0.01,0.08,0,0.02
"    Personal care products                                  ","MEAN",6.8,3.82,2.84,3.51,3.75,4.31,5.54,5.98,5.95,10.42
"    Personal care products                                  ","SE",0.21,0.73,0.37,0.48,0.45,0.41,0.8,0.58,0.4,0.44
"      Hair care products                                    ","MEAN",1.34,0.65,0.72,1.04,0.52,0.86,0.75,1.2,1.34,2.04
"      Hair care products                                    ","SE",0.06,0.19,0.22,0.22,0.08,0.15,0.12,0.17,0.16,0.13
"      Nonelectric articles for the hair                     ","MEAN",0.17,0.15,0.05,0.04,0.1,0.11,0.08,0.1,0.19,0.28
"      Nonelectric articles for the hair                     ","SE",0.01,0.06,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04
"      Oral hygiene products, articles                       ","MEAN",0.7,0.38,0.45,0.35,0.33,0.44,0.55,0.65,0.66,1.06
"      Oral hygiene products, articles                       ","SE",0.03,0.06,0.11,0.07,0.06,0.05,0.08,0.08,0.07,0.06
"      Shaving needs                                         ","MEAN",0.36,0.1,0.07,0.07,0.18,0.19,0.19,0.39,0.38,0.59
"      Shaving needs                                         ","SE",0.03,0.06,0.03,0.04,0.06,0.06,0.04,0.1,0.07,0.07
"      Cosmetics, perfume, bath preparations                 ","MEAN",3.25,2.04,0.94,1.33,2.11,2.11,3.29,2.58,2.49,5
"      Cosmetics, perfume, bath preparations                 ","SE",0.16,0.58,0.18,0.31,0.36,0.31,0.65,0.42,0.24,0.33
"      Deodorants, feminine hygiene, miscellaneous personal  ","MEAN",0.8,0.43,0.61,0.55,0.43,0.52,0.54,0.76,0.78,1.16
"      Deodorants, feminine hygiene, miscellaneous personal  ","SE",0.03,0.09,0.16,0.14,0.08,0.09,0.08,0.1,0.1,0.07
"      Electric personal care appliances                     ","MEAN",0.18,0.08,0,0.13,0.08,0.08,0.14,0.3,0.13,0.29
"      Electric personal care appliances                     ","SE",0.04,0.05,0,0.08,0.06,0.04,0.07,0.13,0.05,0.1
"    Personal care services                                  ","MEAN",4.69,1.03,1.57,1.44,3.18,2.78,2.92,3.47,4.17,7.89
"    Personal care services                                  ","SE",0.2,0.33,0.4,0.36,0.63,0.51,0.48,0.62,0.36,0.43
"      Personal care service for females                     ","MEAN",2.52,0.6,0.88,0.74,1.6,1.6,1.58,1.83,2.26,4.23
"      Personal care service for females                     ","SE",0.11,0.19,0.23,0.19,0.34,0.32,0.26,0.32,0.18,0.24
"      Personal care service for males                       ","MEAN",2.16,0.44,0.69,0.69,1.58,1.18,1.34,1.64,1.91,3.66
"      Personal care service for males                       ","SE",0.09,0.16,0.19,0.17,0.3,0.22,0.23,0.3,0.2,0.2
"      Repair of personal care appliances                    ","MEAN",0,0,0,0,0,0,0,0,0,0
"  Reading                                                   ","MEAN",0.04,0,0,0,0.01,0.09,0,0.03,0,0.08
"  Reading                                                   ","SE",0.02,0,0,0,0.01,0.1,0,0.03,0,0.06
"    Newsletters                                             ","MEAN",0,0,0,0,0.01,0,0,0,0,0
"    Newsletters                                             ","SE",0,0,0,0,0.01,0,0,0,0,0
"    Digital book readers                                    ","MEAN",0.04,0,0,0,0,0.09,0,0.03,0,0.08
"    Digital book readers                                    ","SE",0.02,0,0,0,0,0.1,0,0.03,0,0.06
"  Education                                                 ","MEAN",1.09,0.69,0.47,0.42,0.57,0.43,0.57,1.13,1.09,1.77
"  Education                                                 ","SE",0.1,0.26,0.12,0.12,0.13,0.1,0.11,0.33,0.17,0.21
"    School supplies, etc. - unspecified                     ","MEAN",1.09,0.69,0.47,0.42,0.57,0.43,0.57,1.13,1.09,1.77
"    School supplies, etc. - unspecified                     ","SE",0.1,0.26,0.12,0.12,0.13,0.1,0.11,0.33,0.17,0.21
"  Tobacco products and smoking supplies                     ","MEAN",0.23,0.13,0.24,0.09,0.03,0.15,0.25,0.16,0.26,0.34
"  Tobacco products and smoking supplies                     ","SE",0.06,0.07,0.17,0.07,0.01,0.12,0.15,0.06,0.12,0.11
"    Smoking accessories                                     ","MEAN",0.22,0.13,0.24,0.09,0.03,0.15,0.11,0.16,0.26,0.34
"    Smoking accessories                                     ","SE",0.04,0.07,0.17,0.07,0.01,0.12,0.05,0.06,0.12,0.11
"    Marijuana                                               ","MEAN",0.01,0,0,0,0,0,0.14,0,0,0
"    Marijuana                                               ","SE",0.01,0,0,0,0,0,0.14,0,0,0
"  Miscellaneous                                             ","MEAN",1.97,2.63,0.13,0.7,0.74,2.03,1.6,1.28,1.52,2.96
"  Miscellaneous                                             ","SE",0.33,1.65,0.07,0.26,0.26,0.83,0.82,0.42,0.43,0.77
"    Miscellaneous fees                                      ","MEAN",0.07,0,0,0,0,0.04,0.02,0.04,0.04,0.16
"    Miscellaneous fees                                      ","SE",0.04,0,0,0,0,0.04,0.02,0.04,0.02,0.1
"    Lotteries and pari-mutuel losses                        ","MEAN",0.84,2.05,0.09,0.29,0.45,0.68,1.19,0.57,0.81,0.99
"    Lotteries and pari-mutuel losses                        ","SE",0.14,1.32,0.06,0.15,0.14,0.17,0.76,0.22,0.22,0.23
"    Miscellaneous personal services                         ","MEAN",1.05,0.58,0.04,0.4,0.29,1.31,0.4,0.67,0.68,1.81
"    Miscellaneous personal services                         ","SE",0.27,0.36,0.03,0.22,0.21,0.75,0.22,0.36,0.36,0.72
"  Money income before taxes                                 ","MEAN",66995.98,442.61,7497.77,12877.05,17667.97,25031.79,35013.7,44940.49,59840.78,130434.79
"    Wages and salaries                                      ","MEAN",52192.54,1052.2,1902.85,3979.77,6038.16,12620.43,22261.57,32207.05,45576.4,109338.06
"    Self-employment income                                  ","MEAN",3827.16,-2354.25,212.35,291.36,486.29,769.3,1320.62,2151.54,3009.57,8606.2
"    Social Security, private and government retirement      ","MEAN",7818.74,566.34,2768.55,6127.95,9328.81,9498.67,9250.01,8334.82,8718.85,7569.99
"      Social Security and railroad retirement income        ","MEAN",5164.76,333.93,2623.11,5778.52,8626.47,8448.95,7343.88,5927.76,4978.71,3304.06
"      Retirement, survivors, disability income              ","MEAN",2653.98,232.41,145.44,349.43,702.34,1049.72,1906.13,2407.06,3740.14,4265.93
"    Interest, dividends, rental income, other property incom","MEAN",1569.42,11.31,63.44,129.89,259.73,548.15,775.38,1012.54,1054.55,3308.46
"      Interest and dividends                                ","MEAN",786.99,16.59,39.35,89.24,238.77,359.41,566.21,715.76,714.53,1418.9
"      Net room/rental income                                ","MEAN",383.41,-11.17,-12.69,18.17,4.18,96.28,165.92,226.32,225.03,864.9
"      Royalty, estate, trust income                         ","MEAN",399.02,5.9,36.79,22.47,16.77,92.46,43.25,70.46,114.99,1024.65
"    Public assistance, supplemental security income, food   ","MEAN",753.43,895.1,1825.25,1587.19,787.3,831.39,690.78,511.69,513.34,650.17
"      Supplemental security income                          ","MEAN",199.16,169.72,611.49,689.46,240.19,211.79,258.12,156.31,78.8,115.55
"      Public assistance                                     ","MEAN",33.47,42.01,97.72,82.45,36.83,54.65,12.27,36.85,49.11,9.34
"      Food stamps                                           ","MEAN",520.8,683.37,1116.05,815.28,510.28,564.95,420.39,318.53,385.43,525.27
"    Unemployment and workers'' compensation, veterans''     ","MEAN",590.3,112.97,337.5,419.36,367.27,603.26,458.71,369.8,745.38,762.16
"      Other regular income                                  ","MEAN",590.3,112.97,337.5,419.36,367.27,603.26,458.71,369.8,745.38,762.16
"    Other income                                            ","MEAN",244.39,158.95,387.82,341.52,400.41,160.6,256.63,353.05,222.7,199.75
"      Meals as pay                                          ","MEAN",0.56,1.45,0.26,0.15,0.27,0.35,0.35,0.56,0.23,0.89
"      Rent as pay                                           ","MEAN",5.35,11.69,22.66,13.45,0.47,7.49,10.9,4.11,4.22,1.08
"      Other income                                          ","MEAN",238.48,145.81,364.9,327.91,399.67,152.76,245.39,348.38,218.24,197.77
