"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20141",2651585,4,0,"1","160","D","13","D",25,"D"
"20141",2651585,5,0,"1","160","D","13","D",120,"D"
"20141",2651585,6,0,"1","160","D","13","D",25,"D"
"20141",2651595,8,0,"1","100","D","13","D",100,"D"
"20141",2651615,5,0,"1","150","D","13","D",300,"D"
"20141",2651625,8,0,"1","170","D","12","D",200,"D"
"20141",2651825,3,0,"1","150","D","13","D",10,"D"
"20141",2651825,4,0,"1","150","D","12","D",25,"D"
"20141",2651845,7,0,"1","170","D","12","D",300,"D"
"20141",2651895,3,0,"1","160","D","12","D",135,"D"
"20141",2651925,3,0,"1","130","D","12","D",3000,"D"
"20141",2651955,4,0,"2","160","D","10","D",50,"D"
"20141",2652045,3,0,"1","160","D","12","D",5,"D"
"20141",2652065,1,0,"1","170","D","12","D",450,"D"
"20141",2652065,2,0,"1","150","D","13","D",100,"D"
"20141",2652065,3,0,"1","150","D","13","D",200,"D"
"20141",2652105,3,0,"1","150","D","13","D",700,"D"
"20141",2652115,2,0,"1","170","D","12","D",30,"D"
"20141",2652195,6,0,"1","170","D","12","D",12500,"D"
"20141",2652195,7,0,"1","170","D","12","D",500,"D"
"20141",2652195,8,0,"1","130","D","12","D",2000,"D"
"20141",2652195,9,0,"1","160","D","12","D",10000,"D"
"20141",2652195,10,0,"1","160","D","12","D",20000,"D"
"20141",2652195,11,0,"1","150","D","12","D",7000,"D"
"20141",2652205,4,0,"1","170","D","12","D",50,"D"
"20141",2652205,5,0,"1","170","D","11","D",80,"D"
"20141",2652255,4,0,"1","170","D","12","D",200,"D"
"20141",2652265,8,0,"1","170","D","10","D",1500,"D"
"20141",2652265,9,0,"1","170","D","11","D",150,"D"
"20141",2652265,10,0,"1","170","D","12","D",2500,"D"
"20141",2652265,11,0,"1","150","D","10","D",935,"D"
"20141",2652265,12,0,"1","150","D","11","D",1335,"D"
"20141",2652265,13,0,"1","150","D","12","D",2600,"D"
"20141",2652335,10,0,"1","170","D","11","D",280,"D"
"20141",2652335,11,0,"1","170","D","13","D",500,"D"
"20141",2652335,12,0,"1","110","D","13","D",2700,"D"
"20141",2652335,13,0,"1","120","D","10","D",700,"D"
"20141",2652335,14,0,"1","120","D","11","D",700,"D"
"20141",2652335,15,0,"1","120","D","12","D",700,"D"
"20141",2652335,16,0,"1","150","D","13","D",80,"D"
"20141",2652335,17,0,"2","170","D","10","D",100,"D"
"20141",2652355,7,0,"1","150","D","13","D",100,"D"
"20141",2652375,5,0,"1","150","D","13","D",50,"D"
"20141",2652385,10,0,"1","150","D","13","D",600,"D"
"20141",2652385,11,0,"1","160","D","12","D",70,"D"
"20141",2652385,12,0,"2","170","D","10","D",140,"D"
"20141",2652395,1,0,"1","150","D","13","D",200,"D"
"20141",2652435,6,0,"1","150","D","13","D",400,"D"
"20141",2652505,2,0,"1","170","D","12","D",400,"D"
"20141",2652505,3,0,"1","150","D","13","D",80,"D"
"20141",2652525,2,0,"1","160","D","12","D",200,"D"
"20141",2652525,3,0,"1","160","D","12","D",200,"D"
"20141",2652525,4,0,"1","160","D","10","D",200,"D"
"20141",2652555,4,0,"1","160","D","12","D",580,"F"
"20141",2652565,7,0,"1","170","D","12","D",1000,"D"
"20141",2652565,8,0,"1","150","D","12","D",700,"D"
"20141",2652565,9,0,"1","160","D","12","D",300,"D"
"20141",2652575,2,0,"1","150","D","11","D",5,"D"
"20141",2652575,3,0,"2","150","D","10","D",5,"D"
"20141",2652665,4,0,"1","160","D","12","D",200,"D"
"20141",2652905,2,0,"1","150","D","13","D",25,"D"
"20141",2652905,3,0,"1","160","D","12","D",35,"D"
"20141",2652905,4,0,"1","160","D","12","D",25,"D"
"20141",2652995,9,0,"1","100","D","12","D",100,"D"
"20141",2652995,10,0,"1","170","D","11","D",100,"D"
"20141",2652995,11,0,"1","170","D","12","D",140,"D"
"20141",2652995,12,0,"1","150","D","13","D",50,"D"
"20141",2653055,4,0,"1","160","D","12","D",50,"D"
"20141",2653055,5,0,"2","160","D","10","D",25,"D"
"20141",2653065,10,0,"1","170","D","12","D",225,"D"
"20141",2653065,11,0,"1","160","D","10","D",20,"D"
"20141",2653065,12,0,"1","160","D","11","D",20,"D"
"20141",2653065,13,0,"1","160","D","12","D",70,"D"
"20141",2653075,7,0,"1","170","D","11","D",3500,"D"
"20141",2653075,8,0,"1","130","D","12","D",760,"D"
"20141",2653075,9,0,"1","140","D","11","D",200,"D"
"20141",2653075,10,0,"1","160","D","12","D",700,"D"
"20141",2653115,1,0,"1","150","D","13","D",50,"D"
"20141",2653225,7,0,"1","170","D","12","D",100,"D"
"20141",2653225,8,0,"1","170","D","12","D",350,"D"
"20141",2653225,9,0,"1","170","D","12","D",50,"D"
"20141",2653275,1,0,"1","150","D","13","D",50,"D"
"20141",2653285,6,0,"1","170","D","12","D",125,"D"
"20141",2653315,11,0,"1","170","D","12","D",50,"D"
"20141",2653315,12,0,"1","160","D","13","D",1,"D"
"20141",2653315,13,0,"2","170","D","10","D",400,"D"
"20141",2653325,3,0,"1","170","D","11","D",100,"D"
"20141",2653345,3,0,"1","150","D","13","D",60,"D"
"20141",2653345,4,0,"1","160","D","12","D",100,"D"
"20141",2653345,5,0,"2","160","D","10","D",200,"D"
"20141",2653395,8,0,"1","170","D","12","D",240,"D"
"20141",2653395,9,0,"2","170","D","10","D",25,"D"
"20141",2653475,19,0,"1","100","D","13","D",200,"D"
"20141",2653475,20,0,"1","150","D","12","D",120,"D"
"20141",2653525,7,0,"1","170","D","12","D",100,"D"
"20141",2653525,8,0,"1","160","D","13","D",20,"D"
"20141",2653535,9,0,"1","170","D","10","D",30,"D"
"20141",2653535,10,0,"1","170","D","11","D",50,"D"
"20141",2653535,11,0,"1","170","D","12","D",350,"D"
"20141",2653535,12,0,"1","170","D","12","D",50,"D"
"20141",2653535,13,0,"1","160","D","11","D",25,"D"
"20141",2653535,14,0,"1","160","D","12","D",25,"D"
"20141",2653535,15,0,"1","150","D","13","D",100,"D"
"20141",2653555,11,0,"1","170","D","11","D",100,"D"
"20141",2653615,4,0,"1","170","D","12","D",1940,"D"
"20141",2653615,5,0,"1","150","D","10","D",120,"D"
"20141",2653615,6,0,"1","150","D","11","D",245,"D"
"20141",2653615,7,0,"1","150","D","12","D",120,"D"
"20141",2653615,8,0,"1","160","D","11","D",100,"D"
"20141",2653615,9,0,"1","160","D","11","D",100,"D"
"20141",2653615,10,0,"1","160","D","11","D",100,"D"
"20141",2653615,11,0,"1","160","D","12","D",300,"D"
"20141",2653615,12,0,"1","160","D","12","D",300,"D"
"20141",2653615,13,0,"1","160","D","12","D",300,"D"
"20141",2653615,14,0,"1","160","D","12","D",100,"D"
"20141",2653685,10,0,"1","150","D","13","D",40,"D"
"20141",2653685,11,0,"1","160","D","11","D",20,"D"
"20141",2653685,12,0,"1","160","D","12","D",100,"D"
"20141",2653695,3,0,"1","100","D","11","D",20,"D"
"20141",2653695,4,0,"1","100","D","12","D",20,"D"
"20141",2653735,5,0,"1","150","D","13","D",300,"D"
"20141",2653735,6,0,"1","160","D","11","D",25,"D"
"20141",2653825,2,0,"1","170","D","12","D",600,"D"
"20141",2653825,3,0,"1","150","D","13","D",105,"D"
"20141",2653835,6,0,"1","170","D","12","D",300,"D"
"20141",2653835,7,0,"1","150","D","13","D",200,"D"
"20141",2653935,1,0,"1","170","D","12","D",100,"D"
"20141",2653935,2,0,"1","160","D","11","D",50,"D"
"20141",2653935,3,0,"1","160","D","12","D",30,"D"
"20141",2653945,2,0,"1","150","D","13","D",40,"D"
"20141",2654015,5,0,"1","170","D","12","D",1200,"D"
"20141",2654015,6,0,"1","150","D","13","D",20,"D"
"20141",2654015,7,0,"2","170","D","10","D",100,"D"
"20141",2654025,9,0,"1","150","D","13","D",20,"D"
"20141",2654085,3,0,"1","100","D","13","D",250,"D"
"20141",2654155,5,0,"1","170","D","10","D",300,"D"
"20141",2654155,6,0,"1","170","D","11","D",250,"D"
"20141",2654155,7,0,"1","170","D","12","D",800,"D"
"20141",2654155,8,0,"1","150","D","12","D",100,"D"
"20141",2654215,8,0,"1","160","D","13","D",130,"D"
"20141",2654225,7,0,"1","110","D","13","D",500,"D"
"20141",2654225,8,0,"1","160","D","13","D",25,"D"
"20141",2654225,9,0,"1","150","D","13","D",10,"D"
"20141",2654245,3,0,"1","170","D","12","D",260,"D"
"20141",2654245,4,0,"1","150","D","13","D",90,"D"
"20141",2654245,5,0,"2","160","D","10","D",20,"D"
"20141",2654305,2,0,"1","170","D","12","D",168,"F"
"20141",2654305,3,0,"1","150","D","13","D",125,"D"
"20141",2654305,4,0,"1","150","D","12","D",100,"D"
"20141",2654305,5,0,"1","160","D","13","D",30,"D"
"20141",2654355,3,0,"1","150","D","13","D",10,"D"
"20141",2654365,1,0,"1","160","D","11","D",1060,"D"
"20141",2654375,4,0,"1","150","D","13","D",180,"D"
"20141",2654385,1,0,"1","150","D","13","D",200,"D"
"20141",2654385,2,0,"1","160","D","12","D",50,"D"
"20141",2654385,3,0,"2","150","D","10","D",2000,"D"
"20141",2654415,4,0,"1","150","D","13","D",50,"D"
"20141",2654435,7,0,"1","150","D","13","D",100,"D"
"20141",2654455,4,0,"1","160","D","12","D",50,"D"
"20141",2654475,2,0,"1","150","D","13","D",300,"D"
"20141",2654475,3,0,"2","150","D","10","D",300,"D"
"20141",2654575,4,0,"1","160","D","12","D",3400,"D"
"20141",2654595,5,0,"1","170","D","12","D",20,"D"
"20141",2654685,7,0,"1","150","D","13","D",757,"D"
"20141",2654815,9,0,"1","170","D","12","D",130,"D"
"20141",2654815,10,0,"1","150","D","13","D",200,"D"
"20141",2654815,11,0,"1","160","D","11","D",30,"D"
"20141",2654895,2,0,"1","150","D","12","D",400,"D"
"20141",2654915,10,0,"1","170","D","13","D",50,"D"
"20141",2654915,11,0,"1","160","D","12","D",5000,"D"
"20141",2654915,12,0,"2","130","D","10","D",1000,"D"
"20141",2655005,15,0,"1","170","D","12","D",400,"D"
"20141",2655005,16,0,"1","150","D","13","D",80,"D"
"20141",2655075,12,0,"1","170","D","12","D",300,"D"
"20141",2655075,13,0,"1","170","D","13","D",100,"D"
"20141",2655075,14,0,"1","160","D","11","D",580,"F"
"20141",2655075,15,0,"1","160","D","12","D",580,"F"
"20141",2655075,16,0,"2","170","D","10","D",80,"D"
"20141",2655095,7,0,"1","150","D","13","D",150,"D"
"20141",2655095,8,0,"1","160","D","10","D",18,"D"
"20141",2655095,9,0,"1","160","D","10","D",20,"D"
"20141",2655095,10,0,"1","150","D","13","D",250,"D"
"20141",2655105,2,0,"1","140","D","10","D",25,"D"
"20141",2655105,3,0,"1","150","D","13","D",300,"D"
"20141",2655105,4,0,"1","160","D","12","D",50,"D"
"20141",2655105,5,0,"1","160","D","12","D",120,"D"
"20141",2655105,6,0,"2","160","D","10","D",245,"D"
"20141",2655165,3,0,"1","150","D","13","D",5,"D"
"20141",2655195,6,0,"1","170","D","12","D",1000,"D"
"20141",2655195,7,0,"1","160","D","12","D",200,"D"
"20141",2655245,6,0,"1","170","D","12","D",125,"D"
"20141",2655245,7,0,"1","170","D","11","D",300,"D"
"20141",2655265,2,0,"1","170","D","12","D",500,"D"
"20141",2655265,3,0,"1","150","D","13","D",240,"D"
"20141",2655315,4,0,"1","150","D","13","D",240,"D"
"20141",2655315,5,0,"1","150","D","13","D",200,"D"
"20141",2655335,1,0,"1","150","D","13","D",205,"F"
"20141",2655365,6,0,"1","170","D","12","D",400,"D"
"20141",2655365,7,0,"1","150","D","13","D",100,"D"
"20141",2655375,12,0,"1","170","D","13","D",87,"D"
"20141",2655375,13,0,"1","160","D","10","D",22,"D"
"20141",2655375,14,0,"1","150","D","13","D",550,"D"
"20141",2655385,1,0,"2","150","D","10","D",5,"D"
"20141",2655395,2,0,"1","160","D","12","D",100,"D"
"20141",2655415,23,0,"1","170","D","11","D",50,"D"
"20141",2655415,24,0,"1","170","D","12","D",25,"D"
"20141",2655415,25,0,"1","170","D","12","D",75,"D"
"20141",2655415,26,0,"1","150","D","13","D",960,"D"
"20141",2655415,27,0,"1","150","D","12","D",2564,"D"
"20141",2655415,28,0,"2","170","D","10","D",50,"D"
"20141",2655425,6,0,"1","150","D","12","D",3,"D"
"20141",2655435,17,0,"1","170","D","12","D",200,"D"
"20141",2655435,18,0,"2","170","D","10","D",20,"D"
"20141",2655455,7,0,"1","160","D","12","D",20,"D"
"20141",2655485,3,0,"1","160","D","12","D",100,"D"
"20141",2655525,3,0,"1","170","D","12","D",40,"D"
"20141",2655575,2,0,"1","170","D","12","D",500,"D"
"20141",2655575,3,0,"1","150","D","13","D",250,"D"
"20141",2655575,4,0,"1","150","D","13","D",70,"D"
"20141",2655575,5,0,"1","160","D","11","D",100,"D"
"20141",2655575,6,0,"1","160","D","12","D",25,"D"
"20141",2655575,7,0,"1","160","D","12","D",150,"D"
"20141",2655575,8,0,"2","150","D","10","D",155,"D"
