"QYEAR","NEWID","SEQNO","ALCNO","INTSERV","INTSERV_","INTMO","INTMO_","INTCHGX","INTCHGX_","INTSRV1","INTSRV1_","INTSRV2","INTSRV2_","INTSRV3","INTSRV3_","INTSRV4","INTSRV4_","INTSRV5","INTSRV5_","INTSRV6","INTSRV6_","INTSRV7","INTSRV7_","INTSRV8","INTSRV8_","INTSRV9","INTSRV9_"
"20151",2925673,17,1,"200","D","13","D",47,"G",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925673,17,2,"100","D","13","D",84,"G",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925713,22,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925713,22,1,"200","D","13","D",49,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925713,22,2,"100","D","13","D",86,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925783,45,0,"200","D","13","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925803,20,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925803,20,1,"200","D","13","D",54,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925803,20,2,"100","D","13","D",96,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925813,78,0,"100","D","11","D",118,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925813,79,0,"100","D","12","D",152,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925813,80,0,"100","D","01","D",152,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925823,40,0,"100","D","13","D",14,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925833,30,0,"100","D","13","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925833,31,0,"200","D","13","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925883,61,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925883,61,1,"200","D","13","D",43,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925883,61,2,"100","D","13","D",77,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925893,10,0,"100","D","13","D",94,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925933,69,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925933,69,1,"200","D","13","D",43,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925933,69,2,"100","D","13","D",77,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925943,27,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925943,27,1,"200","D","13","D",68,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2925943,27,2,"100","D","13","D",122,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926033,20,0,"100","D","13","D",51,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926063,28,0,"100","D","13","D",72,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926063,29,0,"200","D","13","D",32,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926123,12,0,"100","D","13","D",126,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926133,55,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926133,55,1,"200","D","13","D",86,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926133,55,2,"100","D","13","D",152,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926133,56,0,"700","D","13","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926163,13,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926163,13,1,"200","D","13","D",50,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926163,13,2,"100","D","13","D",90,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926185,46,0,"200","D","13","D",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151",2926243,23,0,"100","D","13","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
