"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20142",2711805,19,0,"5","01","D","100","D",.,"A","3","D",,"B","2001","D",.,"A",.,"A",.,"A",490,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711805,20,0,"5","02","D","300","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",1500,"F","2","D",.,"A",,"A",.,"A","1","D",0,"D",,"A",,"A"
"20142",2711845,34,0,"5","01","D","100","D",.,"A","1","D","09","D","2013","D",121000,"D",70000,"D",.,"C",3200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20142",2711895,27,0,"5","01","D","100","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711985,27,0,"5","01","D","100","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",900,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712065,16,0,"5","01","D","100","D",.,"A","3","D",,"B","1975","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712075,23,0,"5","01","D","100","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712105,16,0,"5","01","D","100","D",.,"A","1","D",,"B","2002","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712125,29,0,"5","01","D","100","D",.,"A","3","D",,"B","1991","D",.,"A",.,"A",.,"A",5200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712125,30,0,"1","02","D","300","D",.,"A","1","D","06","D","2014","D",25000,"D",0,"D",900,"D",6000,"F","2","D",.,"A",,"A",.,"A","2","D",.,"A","2","D",,"A"
"20142",2712185,7,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",18001,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712195,18,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",9000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712205,18,0,"5","01","D","100","D",.,"A","1","D",,"B","2009","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712225,12,0,"5","01","D","100","D",.,"A","2","D",,"B","2005","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712265,13,0,"5","01","D","100","D",.,"A","3","D",,"B","1951","D",.,"A",.,"A",.,"A",700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712345,20,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",620,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712395,14,0,"5","01","D","100","D",.,"A","3","D",,"B","2007","D",.,"A",.,"A",.,"A",2100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712445,26,0,"5","01","D","100","D",.,"A","3","D",,"B","1993","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712485,30,0,"5","01","D","100","D",.,"A","3","D",,"B","1960","D",.,"A",.,"A",.,"A",3600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712505,19,0,"5","01","D","100","D",.,"A","3","D",,"B","1992","D",.,"A",.,"A",.,"A",800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2712585,22,0,"5","01","D","100","D",.,"A","3","D",,"B","2011","D",.,"A",.,"A",.,"A",7500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
