"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647775,1,"2013","2012",2,0,0,"3",0.1427,0.1426,"22","D",0.0485,0.0495,0,"D",0,"D",0,"D",0,"D",48718,"D",0,"D",0,"D",0,"D",0,"D",6800,"D",1045,"D",0,"D",0,"D",6600,"D",2553,1718,2553.3,2490.8,1717.7,1717.7,0,0,48718,48718,48718.01,48718.01,0,0,0,0,0,0,0,0,42118,42118,0,0,2553.3,2490.8,2553.3,2490.8,0,0,0,0,0,0,0,0,0,0,0
2647805,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",26000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6300,"D",0,"D",180,"D",0,"D",0,"D",340,"D",2003,0,2002.5,1953.75,0,0,3458,3978,26000,26000,0,0,0,0,0,0,0,0,0,0,26000,26000,0,0,2002.5,1953.75,2002.5,1953.75,0,0,0,0,0,0,0,0,0,0,0
2647805,2,"2013","2012",0,0.153,0.133,"1",-0.0765,-0.0765,"0","T",0,0,0,"D",0,"D",4000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-306,0,-306,-306,0,0,532,612,4000,4000,0,0,0,0,0,0,0,0,306,306,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647845,1,"2013","2012",1,0.153,0.133,"2",0.15,0.15,"02","D",0,0,0,"D",0,"D",40000,"D",7000,"D",800,"D",0,"D",0,"D",0,"D",21600,"D",30,"D",0,"D",0,"D",1,"D",4972,"D",1805,0,1805,1692.5,0,0,6251,7191,47800,47800,0,0,1000,1000,0,0,0,0,0,0,47800,47800,0,0,2805,2692.5,2805,2692.5,0,0,0,0,0,0,0,0,0,0,0
2647865,1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"44","D",0,0,0,"D",0,"D",14400,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3660,"D",0,"D",0,"D",0,"D",0,"D",0,"D",465,0,465,440,0,0,1915.2,2203.2,14400,14400,0,0,0,0,0,0,0,0,0,0,14400,14400,0,0,465,440,465,440,0,0,0,0,0,0,0,0,0,0,0
2647875,1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"12","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7739,"D",0,"D",13500,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,-135,0,0,-135,-135,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2200,208.48,209.69,0,0,0,0,0,0,0
2647895,1,"2013","2012",1,0.153,0.133,"3",0.1384,0.1384,"38","D",0.0775,0.0775,0,"D",0,"D",48000,"D",0,"D",-6240,"D",0,"D",0,"D",0,"D",0,"D",3600,"D",0,"D",0,"D",0,"D",7228,"D",2621,1726,2620.95,2574.32,1725.99,1720.19,6384,7344,41760,41760,41760.01,41760.01,0,0,0,0,0,0,0,0,34532,34532,0,0,2620.95,2574.32,2620.95,2574.32,3260.4,3348.31,10828,10828,0,0,0,0,0,0,0
2647925,1,"2013","2012",0,0.153,0.133,"1",0.0993,0.0993,"33","D",0.0404,0.0404,0,"D",0,"D",17874,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8000,"D",0,"D",0,"D",0,"D",3708,"D",216,160,215.95,205.85,159.82,159.82,2377.24,2734.72,17874,17874,17874.01,17874.01,0,0,0,0,0,0,0,0,14166,14166,0,0,215.95,205.85,215.95,205.85,7500,7700,11708,11708,41,41,0,0,0,0,0
2647925,2,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"33","D",0.0454,0.0454,0,"D",0,"D",18200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",845,396,845,820,395.81,385.65,2420.6,2784.6,18200,18200,18200.01,18200.01,0,0,0,0,0,0,0,0,18200,18200,0,0,845,820,845,820,7500,7700,0,0,0,0,0,0,0,0,0
2647925,3,"2013","2012",0,0.153,0.133,"1",0.1765,0.1765,"33","D",0.0404,0.0404,0,"D",0,"D",12794,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",215,164,215.27,161.44,163.99,155.99,1701.6,1957.48,12794,12794,12794.01,12794.01,0,0,0,0,0,0,89.13,117.96,12794,12794,0,0,304.4,279.4,304.4,279.4,7500,7700,0,0,0,0,0,0,0,0,0
