"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2825722,"980050",2,,"1"
2825722,"980070",42614,,"1"
2825722,"980220",100,,"1"
2825722,"980260",100,,"1"
2825722,"980270",100,,"1"
2825722,"980286",100,,"1"
2825722,"980310",100,,"1"
2825722,"980330",100,,"1"
2825751,"800931",3449,,"1"
2825751,"900000",51000,,"1"
2825751,"950001",-1500,,"1"
2825751,"950002",5927,,"1"
2825751,"950011",-1600,,"1"
2825751,"950012",1645,,"1"
2825751,"950013",400,,"1"
2825751,"980000",51000,,"1"
2825751,"980010",1,,"1"
2825751,"980020",26,,"1"
2825751,"980030",1,,"1"
2825751,"980040",1,,"1"
2825751,"980070",46128,,"1"
2825751,"980090",100,,"1"
2825751,"980210",100,,"1"
2825751,"980230",100,,"1"
2825751,"980281",100,,"1"
2825751,"980286",100,,"1"
2825751,"980310",100,,"1"
2825751,"980330",100,,"1"
2825752,"800931",3449,,"1"
2825752,"900000",51000,,"1"
2825752,"950001",-1500,,"1"
2825752,"950002",5927,,"1"
2825752,"950011",-1600,,"1"
2825752,"950012",1645,,"1"
2825752,"950013",400,,"1"
2825752,"980000",51000,,"1"
2825752,"980010",1,,"1"
2825752,"980020",26,,"1"
2825752,"980030",1,,"1"
2825752,"980040",1,,"1"
2825752,"980070",46128,,"1"
2825752,"980090",100,,"1"
2825752,"980210",100,,"1"
2825752,"980230",100,,"1"
2825752,"980281",100,,"1"
2825752,"980286",100,,"1"
2825752,"980310",100,,"1"
2825752,"980330",100,,"1"
2825762,"800940",10967,"T","1"
2825762,"900000",205487,"T","1"
2825762,"900160",28934,,"1"
2825762,"980000",234420,"T","1"
2825762,"980010",5,,"1"
2825762,"980020",37,,"1"
2825762,"980030",1,,"1"
2825762,"980040",9,,"1"
2825762,"980050",3,,"1"
2825762,"980070",234420,"T","1"
2825762,"980090",100,,"1"
2825762,"980210",100,,"1"
2825762,"980230",100,,"1"
2825762,"980281",100,,"1"
2825762,"980286",100,,"1"
2825762,"980310",100,,"1"
2825762,"980330",100,,"1"
2825801,"900000",43834,,"1"
2825801,"900090",2476,,"1"
2825801,"950001",-5000,,"1"
2825801,"950011",-800,,"1"
2825801,"980000",46309,,"1"
2825801,"980010",4,,"1"
2825801,"980020",30,,"1"
2825801,"980030",2,,"1"
2825801,"980040",2,,"1"
2825801,"980050",2,,"1"
2825801,"980070",52109,,"1"
2825801,"980090",100,,"1"
2825801,"980210",100,,"1"
2825801,"980230",100,,"1"
2825801,"980281",100,,"1"
2825801,"980286",100,,"1"
2825801,"980300",100,,"1"
2825801,"980330",100,,"1"
2825802,"900000",43720,,"1"
2825802,"900090",2331,,"1"
2825802,"950001",-5000,,"1"
2825802,"950011",-800,,"1"
2825802,"980000",46052,,"1"
2825802,"980010",4,,"1"
2825802,"980020",30,,"1"
2825802,"980030",2,,"1"
2825802,"980040",2,,"1"
2825802,"980050",2,,"1"
2825802,"980070",51852,,"1"
2825802,"980090",100,,"1"
2825802,"980210",100,,"1"
2825802,"980230",100,,"1"
2825802,"980281",100,,"1"
2825802,"980286",100,,"1"
2825802,"980300",100,,"1"
2825802,"980330",100,,"1"
2825811,"800940",1750,,"1"
2825811,"900000",105807,,"1"
2825811,"900160",10000,,"1"
2825811,"950001",-1000,,"1"
2825811,"980000",115807,,"1"
2825811,"980010",3,,"1"
2825811,"980020",50,,"1"
2825811,"980030",2,,"1"
2825811,"980040",3,,"1"
2825811,"980050",1,,"1"
2825811,"980070",116807,,"1"
2825811,"980090",100,,"1"
2825811,"980210",100,,"1"
2825811,"980230",100,,"1"
2825811,"980281",100,,"1"
2825811,"980286",100,,"1"
2825811,"980310",100,,"1"
2825811,"980330",100,,"1"
2825812,"800940",1658,,"1"
2825812,"900000",107528,,"1"
2825812,"900160",10000,,"1"
2825812,"950001",-1000,,"1"
2825812,"980000",117528,,"1"
2825812,"980010",3,,"1"
2825812,"980020",50,,"1"
2825812,"980030",2,,"1"
2825812,"980040",3,,"1"
2825812,"980050",1,,"1"
2825812,"980070",118528,,"1"
2825812,"980090",100,,"1"
2825812,"980210",100,,"1"
2825812,"980230",100,,"1"
2825812,"980281",100,,"1"
2825812,"980286",100,,"1"
2825812,"980310",100,,"1"
2825812,"980330",100,,"1"
2825831,"800940",10967,"T","1"
2825831,"900000",129358,,"1"
2825831,"900160",109588,,"1"
2825831,"980000",238946,,"1"
2825831,"980010",2,,"1"
2825831,"980020",57,,"1"
2825831,"980030",2,,"1"
2825831,"980040",2,,"1"
2825831,"980070",238946,,"1"
2825831,"980090",100,,"1"
2825831,"980210",100,,"1"
2825831,"980240",100,,"1"
2825831,"980281",100,,"1"
2825831,"980286",100,,"1"
2825831,"980310",100,,"1"
2825831,"980330",100,,"1"
2825832,"800940",10967,"T","1"
2825832,"900000",135019,,"1"
2825832,"900160",96779,,"1"
2825832,"980000",231798,,"1"
2825832,"980010",2,,"1"
2825832,"980020",57,,"1"
2825832,"980030",2,,"1"
2825832,"980040",2,,"1"
2825832,"980070",231798,,"1"
2825832,"980090",100,,"1"
2825832,"980210",100,,"1"
2825832,"980240",100,,"1"
2825832,"980281",100,,"1"
2825832,"980286",100,,"1"
2825832,"980310",100,,"1"
2825832,"980330",100,,"1"
2825851,"900030",24132,,"1"
2825851,"900170",6000,,"1"
2825851,"980000",30132,,"1"
2825851,"980010",2,,"1"
2825851,"980020",74,,"1"
2825851,"980040",1,,"1"
2825851,"980060",2,,"1"
2825851,"980070",30132,,"1"
2825851,"980090",100,,"1"
2825851,"980210",100,,"1"
2825851,"980230",100,,"1"
2825851,"980281",100,,"1"
2825851,"980286",100,,"1"
2825851,"980300",100,,"1"
2825851,"980330",100,,"1"
2825852,"900030",24132,,"1"
2825852,"900170",6000,,"1"
2825852,"980000",30132,,"1"
2825852,"980010",2,,"1"
2825852,"980020",74,,"1"
2825852,"980040",1,,"1"
2825852,"980060",2,,"1"
2825852,"980070",30132,,"1"
2825852,"980090",100,,"1"
2825852,"980210",100,,"1"
2825852,"980230",100,,"1"
2825852,"980281",100,,"1"
2825852,"980286",100,,"1"
2825852,"980300",100,,"1"
2825852,"980330",100,,"1"
2825861,"900000",75844,,"1"
2825861,"950001",-700,,"1"
2825861,"980000",75844,,"1"
2825861,"980010",2,,"1"
2825861,"980020",40,,"1"
2825861,"980030",2,,"1"
2825861,"980040",1,,"1"
2825861,"980070",76544,,"1"
2825861,"980210",100,,"1"
2825861,"980260",100,,"1"
2825861,"980281",100,,"1"
2825861,"980286",100,,"1"
2825861,"980310",100,,"1"
2825861,"980330",100,,"1"
2825862,"900000",50653,,"1"
2825862,"950001",-700,,"1"
2825862,"980000",50653,,"1"
2825862,"980010",2,,"1"
2825862,"980020",40,,"1"
2825862,"980030",2,,"1"
2825862,"980040",1,,"1"
2825862,"980070",51353,,"1"
2825862,"980210",100,,"1"
2825862,"980260",100,,"1"
2825862,"980281",100,,"1"
2825862,"980286",100,,"1"
2825862,"980310",100,,"1"
2825862,"980330",100,,"1"
2825871,"900000",36280,,"1"
2825871,"950001",-3600,,"1"
2825871,"980000",36280,,"1"
2825871,"980010",5,,"1"
2825871,"980020",38,,"1"
2825871,"980030",2,,"1"
2825871,"980040",1,,"1"
2825871,"980050",3,,"1"
2825871,"980070",39880,,"1"
2825871,"980220",100,,"1"
2825871,"980260",100,,"1"
2825871,"980281",100,,"1"
2825871,"980285",100,,"1"
2825871,"980290",100,,"1"
2825871,"980330",100,,"1"
2825872,"900000",36280,,"1"
2825872,"950001",-3600,,"1"
2825872,"980000",36280,,"1"
2825872,"980010",5,,"1"
2825872,"980020",38,,"1"
2825872,"980030",2,,"1"
2825872,"980040",1,,"1"
2825872,"980050",3,,"1"
2825872,"980070",39880,,"1"
2825872,"980220",100,,"1"
2825872,"980260",100,,"1"
2825872,"980281",100,,"1"
2825872,"980285",100,,"1"
2825872,"980290",100,,"1"
2825872,"980330",100,,"1"
2825881,"900000",12320,,"1"
2825881,"900170",1624,,"1"
2825881,"950003",850,,"1"
2825881,"950013",850,,"1"
2825881,"980000",13944,,"1"
2825881,"980010",1,,"1"
2825881,"980020",59,,"1"
2825881,"980030",1,,"1"
2825881,"980040",1,,"1"
2825881,"980070",12244,,"1"
2825881,"980090",100,,"1"
2825881,"980220",100,,"1"
2825881,"980230",100,,"1"
