"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",2048,"2",2825471,"1",
"900000",2048,"3",2825471,"1",
"900000",2048,"4",2825471,"1",
"900000",2048,"5",2825471,"1",
"900150",756,"1",2825471,"1",
"900150",756,"2",2825471,"1",
"900150",756,"3",2825471,"1",
"900150",756,"4",2825471,"1",
"900150",756,"5",2825471,"1",
"900170",27600,"1",2825471,"1",
"900170",27600,"2",2825471,"1",
"900170",27600,"3",2825471,"1",
"900170",27600,"4",2825471,"1",
"900170",27600,"5",2825471,"1",
"980000",30404,"1",2825471,"1",
"980000",30404,"2",2825471,"1",
"980000",30404,"3",2825471,"1",
"980000",30404,"4",2825471,"1",
"980000",30404,"5",2825471,"1",
"980070",31875,"1",2825471,"1",
"980070",31875,"2",2825471,"1",
"980070",31875,"3",2825471,"1",
"980070",31875,"4",2825471,"1",
"980070",31875,"5",2825471,"1",
"900000",2048,"1",2825472,"1",
"900000",2048,"2",2825472,"1",
"900000",2048,"3",2825472,"1",
"900000",2048,"4",2825472,"1",
"900000",2048,"5",2825472,"1",
"900150",756,"1",2825472,"1",
"900150",756,"2",2825472,"1",
"900150",756,"3",2825472,"1",
"900150",756,"4",2825472,"1",
"900150",756,"5",2825472,"1",
"900170",27600,"1",2825472,"1",
"900170",27600,"2",2825472,"1",
"900170",27600,"3",2825472,"1",
"900170",27600,"4",2825472,"1",
"900170",27600,"5",2825472,"1",
"980000",30404,"1",2825472,"1",
"980000",30404,"2",2825472,"1",
"980000",30404,"3",2825472,"1",
"980000",30404,"4",2825472,"1",
"980000",30404,"5",2825472,"1",
"980070",31875,"1",2825472,"1",
"980070",31875,"2",2825472,"1",
"980070",31875,"3",2825472,"1",
"980070",31875,"4",2825472,"1",
"980070",31875,"5",2825472,"1",
"900000",20750,"1",2825491,"1",
"900000",20750,"2",2825491,"1",
"900000",20750,"3",2825491,"1",
"900000",20750,"4",2825491,"1",
"900000",20750,"5",2825491,"1",
"980000",20750,"1",2825491,"1",
"980000",20750,"2",2825491,"1",
"980000",20750,"3",2825491,"1",
"980000",20750,"4",2825491,"1",
"980000",20750,"5",2825491,"1",
"980070",25350,"1",2825491,"1",
"980070",25350,"2",2825491,"1",
"980070",25350,"3",2825491,"1",
"980070",25350,"4",2825491,"1",
"980070",25350,"5",2825491,"1",
"900000",20750,"1",2825492,"1",
"900000",20750,"2",2825492,"1",
"900000",20750,"3",2825492,"1",
"900000",20750,"4",2825492,"1",
"900000",20750,"5",2825492,"1",
"980000",20750,"1",2825492,"1",
"980000",20750,"2",2825492,"1",
"980000",20750,"3",2825492,"1",
"980000",20750,"4",2825492,"1",
"980000",20750,"5",2825492,"1",
"980070",25350,"1",2825492,"1",
