"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151",2901703,49,0,"1",.,"A"
"20151",2901713,36,0,"1",.,"A"
"20151",2901723,24,0,"1",.,"A"
"20151",2901743,18,0,"1",.,"A"
"20151",2901783,36,0,"1",.,"A"
"20151",2901793,35,0,"1",.,"A"
"20151",2901803,35,0,"1",.,"A"
"20151",2901813,20,0,"1",.,"A"
"20151",2901823,22,0,"1",.,"A"
"20151",2901843,17,0,"1",.,"A"
"20151",2901863,34,0,"1",.,"A"
"20151",2901883,45,0,"1",.,"A"
"20151",2901893,49,0,"1",.,"A"
"20151",2901943,31,0,"1",.,"A"
"20151",2901953,37,0,"1",.,"A"
"20151",2901973,43,0,"1",.,"A"
"20151",2901993,27,0,"1",.,"A"
"20151",2902013,65,0,"1",250,"D"
"20151",2902083,16,0,"1",.,"A"
"20151",2902103,13,0,"1",.,"A"
"20151",2902143,29,0,"1",.,"A"
"20151",2902183,35,0,"1",.,"A"
"20151",2902203,46,0,"1",.,"A"
"20151",2902213,36,0,"1",.,"A"
"20151",2902233,51,0,"1",.,"A"
"20151",2902243,24,0,"1",.,"A"
"20151",2902283,28,0,"1",.,"A"
"20151",2902303,18,0,"1",.,"A"
"20151",2902313,41,0,"1",.,"A"
"20151",2902323,31,0,"1",.,"A"
"20151",2902343,27,0,"1",.,"A"
"20151",2902363,13,0,"1",.,"A"
"20151",2902373,23,0,"1",55,"F"
"20151",2902423,22,0,"1",.,"A"
"20151",2902433,29,0,"1",.,"A"
"20151",2902453,71,0,"1",.,"A"
"20151",2902463,24,0,"1",.,"A"
"20151",2902473,88,0,"1",.,"A"
"20151",2902503,37,0,"1",.,"A"
"20151",2902523,28,0,"1",.,"A"
"20151",2902533,62,0,"1",.,"A"
"20151",2902543,11,0,"1",.,"A"
"20151",2902553,30,0,"1",.,"A"
"20151",2902573,52,0,"1",.,"A"
"20151",2902603,25,0,"1",.,"A"
"20151",2902643,18,0,"1",.,"A"
"20151",2902663,63,0,"1",.,"A"
"20151",2902693,61,0,"1",.,"A"
"20151",2902703,55,0,"1",.,"A"
"20151",2902733,28,0,"1",.,"A"
"20151",2902743,27,0,"1",.,"A"
"20151",2902753,5,0,"1",10,"D"
"20151",2902783,45,0,"1",.,"A"
"20151",2902813,157,0,"1",.,"A"
"20151",2902823,20,0,"1",.,"A"
"20151",2902873,20,0,"1",.,"A"
"20151",2902903,23,0,"1",.,"A"
"20151",2902933,15,0,"1",.,"A"
"20151",2902953,12,0,"1",.,"A"
"20151",2902973,32,0,"1",.,"A"
"20151",2902993,9,0,"1",.,"A"
"20151",2903033,37,0,"1",.,"A"
"20151",2903043,52,0,"1",.,"A"
"20151",2903063,53,0,"1",.,"A"
"20151",2903083,34,0,"1",.,"A"
"20151",2903093,25,0,"1",.,"A"
"20151",2903123,10,0,"1",.,"A"
"20151",2903133,6,0,"1",.,"A"
"20151",2903143,43,0,"1",.,"A"
"20151",2903173,28,0,"1",.,"A"
"20151",2903183,34,0,"1",.,"A"
"20151",2903213,26,0,"1",.,"A"
"20151",2903255,24,0,"1",.,"A"
"20151",2903293,32,0,"1",.,"A"
"20151",2903323,16,0,"1",.,"A"
"20151",2903343,28,0,"1",.,"A"
"20151",2903353,47,0,"1",.,"A"
"20151",2903373,23,0,"1",.,"A"
"20151",2903383,11,0,"1",.,"A"
"20151",2903393,67,0,"1",100,"D"
"20151",2903423,46,0,"1",.,"A"
"20151",2903493,27,0,"1",.,"A"
"20151",2903563,46,0,"1",.,"A"
"20151",2903573,51,0,"1",.,"A"
"20151",2903603,43,0,"1",.,"A"
"20151",2903623,37,0,"1",.,"A"
"20151",2903643,53,0,"1",.,"A"
"20151",2903653,85,0,"1",.,"A"
"20151",2903673,54,0,"1",.,"A"
"20151",2903703,50,0,"1",60,"D"
"20151",2903713,27,0,"1",.,"A"
"20151",2903723,13,0,"1",.,"A"
"20151",2903733,17,0,"1",.,"A"
"20151",2903743,32,0,"1",.,"A"
"20151",2903753,70,0,"1",.,"A"
"20151",2903773,47,0,"1",.,"A"
"20151",2903803,44,0,"1",143,"D"
"20151",2903823,16,0,"1",.,"A"
"20151",2903843,34,0,"1",.,"A"
"20151",2903853,13,0,"1",.,"A"
"20151",2903863,37,0,"1",.,"A"
"20151",2903873,6,0,"1",20,"D"
"20151",2903893,52,0,"1",.,"A"
"20151",2903903,34,0,"1",.,"A"
"20151",2903923,13,0,"1",.,"A"
"20151",2903943,20,0,"1",.,"A"
"20151",2903993,13,0,"1",.,"A"
"20151",2904003,20,0,"1",.,"A"
"20151",2904023,51,0,"1",.,"A"
"20151",2904044,24,0,"1",.,"A"
"20151",2904073,26,0,"1",.,"A"
"20151",2904083,16,0,"1",.,"A"
"20151",2904103,44,0,"1",.,"A"
"20151",2904133,19,0,"1",.,"A"
"20151",2904143,18,0,"1",.,"A"
"20151",2904163,16,0,"1",.,"A"
"20151",2904203,13,0,"1",.,"A"
"20151",2904213,31,0,"1",.,"A"
"20151",2904253,17,0,"1",.,"A"
"20151",2904273,64,0,"1",40,"D"
"20151",2904283,12,0,"1",.,"A"
"20151",2904293,8,0,"1",.,"A"
"20151",2904313,77,0,"1",.,"A"
"20151",2904323,35,0,"1",.,"A"
"20151",2904333,53,0,"1",.,"A"
"20151",2904343,52,0,"1",.,"A"
"20151",2904393,29,0,"1",.,"A"
"20151",2904403,76,0,"1",.,"A"
"20151",2904413,27,0,"1",.,"A"
"20151",2904433,30,0,"1",.,"A"
"20151",2904453,23,0,"1",.,"A"
"20151",2904533,16,0,"1",.,"A"
"20151",2904543,49,0,"1",.,"A"
"20151",2904553,49,0,"1",.,"A"
"20151",2904563,25,0,"1",.,"A"
"20151",2904573,13,0,"1",150,"D"
"20151",2904593,31,0,"1",.,"A"
"20151",2904603,58,0,"1",.,"A"
"20151",2904613,39,0,"1",.,"A"
"20151",2904623,21,0,"1",.,"A"
"20151",2904633,53,0,"1",.,"A"
"20151",2904653,57,0,"1",.,"A"
"20151",2904663,16,0,"1",.,"A"
"20151",2904673,60,0,"1",.,"A"
"20151",2904713,22,0,"1",.,"A"
"20151",2904723,26,0,"1",.,"A"
"20151",2904763,27,0,"1",.,"A"
