"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20142",2788142,14,0,"1",910,"D",165,"F",.,"A",292,"F",.,"A",.,"A",.,"A",623,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788152,35,0,"1",715,"D",176,"F",.,"A",0,"D",0,"D",.,"A",.,"A",720,"F",45,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788172,35,0,"1",2600,"D",260,"D",.,"A",650,"D",.,"A",.,"A",.,"A",2340,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788202,24,0,"1",2600,"D",520,"D",.,"A",390,"D",.,"A",.,"A",.,"A",2080,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788212,38,0,"1",1950,"D",520,"D",3250,"D",0,"D",0,"D",.,"A",.,"A",1430,"D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788232,37,0,"1",1040,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",845,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788252,49,0,"1",2600,"D",325,"D",.,"A",585,"D",.,"A",.,"A",.,"A",2275,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788262,63,0,"1",2600,"D",975,"D",.,"A",650,"D",0,"D",.,"A",.,"A",1625,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788272,31,0,"1",1625,"D",0,"D",.,"A",650,"D",.,"A",.,"A",.,"A",1625,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788282,38,0,"1",1755,"D",455,"D",.,"A",520,"D",.,"A",.,"A",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788295,48,0,"1",2275,"D",520,"D",520,"D",780,"D",0,"D",.,"A",180,"D",1755,"D",240,"D",.,"A",.,"A",117,"D",9,"D"
"20142",2788302,50,0,"1",1950,"D",390,"D",195,"D",0,"D",.,"A",.,"A",30,"D",1560,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788312,48,0,"1",1300,"D",390,"D",.,"A",650,"D",.,"A",.,"A",.,"A",910,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788322,28,0,"1",1300,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",1170,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788332,28,0,"1",975,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",650,"D",120,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788342,31,0,"1",2600,"D",0,"D",.,"A",1625,"D",.,"A",.,"A",.,"A",2600,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788362,13,0,"1",585,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788372,45,0,"1",1300,"D",260,"D",.,"A",325,"D",.,"A",.,"A",.,"A",1040,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788382,37,0,"1",1040,"D",65,"D",.,"A",0,"D",0,"D",.,"A",.,"A",975,"D",9,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788392,26,0,"1",1040,"D",260,"D",130,"D",780,"D",.,"A",.,"A",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
