"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20144",2871073,67,0,"1",.,"A",82,"D",.,"A",.,"A",.,"A",.,"A",1080,"D",.,"A",.,"A",80,"D",.,"A"
"20144",2871093,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1050,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871113,29,0,"1",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",70,"D",120,"D",.,"A"
"20144",2871123,53,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2040,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871143,74,0,"1",.,"A",30,"D",.,"A",.,"A",.,"A",22,"D",900,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871153,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871173,48,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871203,24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",120,"D",.,"A"
"20144",2871213,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871223,37,0,"1",.,"A",19,"D",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",120,"D",.,"A"
"20144",2871233,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871285,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",405,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871313,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20144",2871323,41,0,"1",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",45,"D",.,"A"
"20144",2871373,12,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",200,"D",.,"A"
"20144",2871383,85,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",675,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871403,61,0,"1",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",540,"D",.,"A",199,"D",.,"A",.,"A"
"20144",2871413,39,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1350,"D",.,"A",15,"D",.,"A",.,"A"
"20144",2871433,11,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871443,28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",270,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871463,37,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",225,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871533,15,0,"1",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",210,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871563,44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871603,24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",249,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871613,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871733,63,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871743,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871773,61,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",375,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871813,42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871835,12,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871853,47,0,"1",.,"A",34,"D",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871863,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871893,32,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871963,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20144",2871993,93,0,"1",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A",1680,"D",.,"A",.,"A",.,"A",.,"A"
