"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20141",2651195,31,0,"1","340","D","1","D",40,"D","12","D"
"20141",2651205,49,0,"1","830","D","1","D",178,"D","13","D"
"20141",2651205,50,0,"1","500","D","1","D",150,"D","12","D"
"20141",2651205,51,0,"1","510","D","1","D",29,"D","12","D"
"20141",2651205,52,0,"1","510","D","1","D",29,"D","11","D"
"20141",2651205,53,0,"1","150","D","1","D",30,"D","10","D"
"20141",2651205,54,0,"1","150","D","1","D",30,"D","11","D"
"20141",2651205,55,0,"1","150","D","1","D",30,"D","12","D"
"20141",2651205,56,0,"1","350","D","1","D",8,"D","13","D"
"20141",2651205,57,0,"1","360","D","1","D",8,"D","13","D"
"20141",2651225,35,0,"1","150","D","1","D",58,"D","10","D"
"20141",2651225,36,0,"1","150","D","1","D",20,"D","10","D"
"20141",2651225,37,0,"1","150","D","1","D",20,"D","11","D"
"20141",2651225,38,0,"1","150","D","1","D",20,"D","12","D"
"20141",2651225,39,0,"1","320","D","1","D",3,"D","11","D"
"20141",2651225,40,0,"1","360","D","1","D",12,"D","13","D"
"20141",2651245,35,0,"1","830","D","1","D",50,"D","13","D"
"20141",2651245,36,0,"1","510","D","1","D",40,"D","12","D"
"20141",2651245,37,0,"1","510","D","1","D",40,"D","11","D"
"20141",2651245,38,0,"1","210","D","1","D",10,"D","10","D"
"20141",2651245,39,0,"1","350","D","1","D",3,"D","13","D"
"20141",2651245,40,0,"1","370","D","1","D",45,"D","12","D"
"20141",2651315,40,0,"1","830","D","1","D",34,"D","13","D"
"20141",2651315,41,0,"1","320","D","1","D",30,"D","11","D"
"20141",2651315,42,0,"1","360","D","1","D",7,"D","13","D"
"20141",2651375,26,0,"1","150","D","1","D",13,"D","10","D"
"20141",2651375,27,0,"1","150","D","1","D",13,"D","11","D"
"20141",2651375,28,0,"1","150","D","1","D",13,"D","12","D"
"20141",2651385,59,0,"1","500","D","1","D",20,"D","12","D"
"20141",2651385,60,0,"1","510","D","1","D",75,"D","12","D"
