"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20144",2871403,40,0,"5","01","D","100","D",0.0784,"D",114699,"D",20,"D",948,"D",,"A",,"A",,"A",,"A",0,"D",437,"D",440,"D",443,"D",511,"D",508,"D",505,"D",,"A","08","D","2004","D","1","D",,"A",78248,"D",77812,"D",77372,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871413,23,0,"5","01","D","100","D",0.0478,"D",124174,"D",30,"D",650,"D",,"A",,"A",,"A",,"A",0,"D",368,"D",370,"D",371,"D",282,"D",280,"D",279,"D",,"A","08","D","1996","D","1","D",,"A",70757,"D",70388,"D",70019,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871563,33,0,"5","01","D","100","D",0.0973,"D",143759,"D",30,"D",1500,"D","3","D","4","D",,"A",,"A",267,"D",706,"D",712,"D",718,"D",527,"D",521,"D",515,"D",,"A","06","D","1990","D","1","D",,"A",64964,"D",64257,"D",63545,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871773,40,0,"5","01","D","100","D",0.0784,"D",375000,"D",30,"D",3232,"D","3","D","4","D",,"A",,"A",522,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","05","D","2009","D","2","D",,"A",354431,"D",354036,"D",353639,"D","01","D",,"A",,"A","3","D",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871773,42,0,"5","03","D","200","D",0.0475,"F",284000,"F",30,"F",1900,"F","3","F","4","F","5","F",,"A",419,"F",461,"F",463,"F",465,"F",1020,"F",1018,"F",1016,"F",,"A","04","F","2009","F","1","F",,"A",257608,"F",257147,"F",256684,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871853,29,0,"5","01","D","100","D",0.0784,"F",230000,"F",30,"F",1920,"F","3","F","4","F","5","F",,"A",258,"F",179,"F",180,"F",181,"F",1483,"F",1482,"F",1481,"F",,"A","01","F","2013","F","1","F",,"A",226967,"F",226788,"F",226608,"F","01","D","1","D",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871993,31,0,"5","01","D","100","D",0.0588,"D",98000,"D",30,"D",1934,"D","3","D","4","D",,"A",,"A",1354,"D",310,"D",312,"D",313,"D",270,"D",268,"D",267,"D",,"A","05","D","1995","D","1","D",,"A",55063,"D",54753,"D",54441,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2872163,28,0,"1","01","D","100","D",0.0784,"D",47652,"D",15,"D",600,"D","3","D","4","D",,"A",,"A",149,"D",186,"D",187,"D",188,"D",265,"D",264,"D",263,"D",,"A","01","D","2011","D","1","D",,"A",40559,"D",40373,"D",40185,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2872203,14,0,"5","01","D","100","D",0.0438,"D",202370,"D",30,"D",1011,"D",,"A",,"A",,"A",,"A",0,"D",336,"D",338,"D",339,"D",675,"D",673,"D",672,"D",,"A","11","D","2009","D","1","D",,"A",184813,"D",184476,"D",184139,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2872363,16,0,"5","02","D","200","D",0.04,"D",208414,"D",30,"D",995,"D",,"A",,"A",,"A",,"A",0,"D",452,"D",454,"D",455,"D",543,"D",541,"D",540,"D",,"A","06","D","2004","D","1","D",,"A",162849,"D",162397,"D",161943,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
