"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20141",2739393,21,0,"5","01","D","100","D","1","D",0.0475,"D",2,"D",366,"D","01","D",128,"D"
"20141",2740223,14,0,"5","01","D","100","D","1","D",0.0475,"D",52,"D",774,"D","01","D",4339,"D"
"20141",2741183,37,0,"5","01","D","100","D","1","D",0.0475,"D",105,"D",584,"D","01","D",8861,"D"
"20141",2741263,45,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2741293,22,0,"5","01","D","100","D","2","D",0.0475,"D",2375,"F",-974,"F","01","D",200000,"F"
"20141",2742083,31,0,"5","01","D","100","D","1","D",0.0475,"D",813,"D",837,"D","01","D",68500,"D"
"20141",2742353,26,0,"5","01","D","100","D","1","D",0.0475,"D",226,"D",374,"D","01","D",19000,"D"
"20141",2742513,36,0,"5","01","D","100","D","1","D",0.0475,"D",557,"D",-32,"D","01","D",46886,"D"
"20141",2742743,14,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",530,"D"
"20141",2743523,20,0,"5","01","D","100","D","1","D",0.0475,"D",344,"F",556,"F","01","D",29000,"F"
"20141",2744433,37,0,"5","01","D","100","D","1","D",0.0475,"D",451,"D",629,"D","01","D",38000,"D"
"20141",2744503,32,0,"5","01","D","100","D","1","D",0.0475,"D",1484,"D",21242,"T","01","D",125000,"D"
"20141",2744843,24,0,"5","01","D","100","D","1","D",0.0475,"D",344,"D",556,"D","01","D",29000,"D"
"20141",2746393,30,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2746993,46,0,"5","01","D","100","D","1","D",0.0475,"D",499,"D",251,"D","01","D",42000,"D"
"20141",2747842,25,0,"1","01","D","100","D","1","D",0.0475,"D",356,"D",-176,"D","01","D",30000,"D"
