"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20144",2762525,23,0,"1","01","D","200","D",0.045,"D",50000,"D",15,"D",450,"D",,"B",,"B",,"B",,"B",68,"D",290,"D",291,"D",292,"D",92,"D",91,"D",90,"D",,"A","09","D","2005","D","1","D",,"A",24452,"D",24162,"D",23870,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2763015,20,0,"5","01","D","100","D",0.04,"D",2200,"D",1,"D",187,"D",,"A",,"A",,"A",,"A",0,"D",1082,"D",1085,"D",1089,"D",18,"D",15,"D",11,"D",,"A","01","D","2014","D","2","D",,"A",927,"D",743,"D",558,"D","01","D","1","D",,"A",,"A",1100,"D",1100,"D",1100,"D","1","D","2","D"
"20144",2764355,57,0,"5","01","D","100","D",0.05,"D",40000,"D",20,"D",272,"D",,"B",,"B",,"B",,"B",8,"D",102,"D",102,"D",103,"D",115,"D",115,"D",114,"D",,"A","09","D","2013","D","1","D",,"A",38907,"D",38805,"D",38703,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2765555,47,0,"5","01","D","100","D",0.0609,"D",17745,"D",7,"D",260,"D",,"A",,"A",,"A",,"A",0,"D",173,"D",174,"D",175,"D",87,"D",86,"D",85,"D",,"A","04","D","2014","D","1","D",,"A",17060,"D",16887,"D",16712,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2766855,17,0,"5","01","D","100","D",0.09,"F",46832,"F",15,"F",475,"F",,"A",,"A",,"A",,"A",0,"F",232,"F",234,"F",235,"F",243,"F",241,"F",240,"F",,"A","08","F","2007","F","1","F",,"A",32423,"F",32191,"F",31958,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2767125,13,0,"5","01","D","100","D",0.05,"F",240559,"V",15,"F",1556,"F","3","F",,"A",,"A",,"A",0,"F",1364,"V",1370,"V",1377,"V",238,"F",233,"F",227,"F",,"A","01","F","2003","F","1","F",,"A",57220,"F",55902,"F",54579,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2769635,11,0,"5","01","D","100","D",0.06,"D",24767,"D",15,"D",209,"D",,"A",,"A",,"A",,"A",0,"D",147,"D",148,"D",149,"D",62,"D",61,"D",60,"D",,"A","06","D","2005","D","1","D",,"A",12318,"D",12171,"D",12022,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2772405,25,0,"5","01","D","100","D",0.065,"D",27000,"D",7,"D",415,"D",,"B",,"B",,"B",,"B",14,"D",358,"D",360,"D",362,"D",43,"D",41,"D",39,"D",,"A","06","D","2009","D","1","D",,"A",7933,"D",7575,"D",7215,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2773105,35,0,"5","01","D","100","D",0.072,"D",20000,"D",15,"D",195,"D",,"B",,"B",,"B",,"B",13,"D",81,"D",82,"D",82,"D",101,"D",100,"D",100,"D",,"A","12","D","2010","D","1","D",,"A",16808,"D",16727,"D",16645,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2776245,22,0,"5","01","D","100","D",0.07,"D",25000,"D",10,"D",303,"D",,"B",,"B",,"B",,"B",13,"D",278,"D",280,"D",281,"D",12,"D",10,"D",9,"D",,"A","04","D","2005","D","1","D",,"A",2029,"D",1750,"D",1471,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
