"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20143",2808443,44,0,"1","420","D","08","D",150,"D",,"A",,"A",,"A",,"A"
"20143",2808543,35,0,"1","400","D","08","D",90,"D",,"A",,"A",,"A",,"A"
"20143",2808703,43,0,"1","420","D","08","D",90,"D",,"A",,"A",,"A",,"A"
"20143",2808703,44,0,"1","405","D","07","D",450,"D",,"A",,"A",,"A",,"A"
"20143",2808923,36,0,"2","420","D","06","D",80,"D",,"A",,"A",,"A",,"A"
"20143",2809073,22,0,"1","420","D","06","D",100,"D",,"A",,"A",,"A",,"A"
"20143",2809083,58,0,"1","410","D","08","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2809083,59,0,"1","420","D","08","D",363,"D",,"A",,"A",,"A",,"A"
"20143",2809113,73,0,"1","400","D","06","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2809113,74,0,"1","410","D","07","D",15,"D",,"A",,"A",,"A",,"A"
"20143",2809113,75,0,"1","420","D","06","D",76,"D",,"A",,"A",,"A",,"A"
"20143",2809203,78,0,"2","420","D","06","D",101,"D",,"A",,"A",,"A",,"A"
"20143",2809203,79,0,"2","420","D","06","D",125,"D",,"A",,"A",,"A",,"A"
"20143",2809373,48,0,"1","420","D","06","D",42,"D",,"A",,"A",,"A",,"A"
"20143",2809603,27,0,"1","405","D","08","D",266,"D",,"A",,"A",,"A",,"A"
"20143",2809683,26,0,"1","420","D","06","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2809813,47,0,"1","410","D","08","D",15,"D",,"A",,"A",,"A",,"A"
"20143",2809973,39,0,"1","400","D","08","D",25,"D",,"A",,"A",,"A",,"A"
"20143",2810003,45,0,"2","420","D","06","D",90,"D",,"A",,"A",,"A",,"A"
"20143",2810115,30,0,"1","420","D","08","D",236,"D",,"A",,"A",,"A",,"A"
"20143",2810133,49,0,"2","420","D","06","D",36,"D",,"A",,"A",,"A",,"A"
"20143",2810243,32,0,"1","420","D","07","D",108,"D",,"A",,"A",,"A",,"A"
"20143",2810243,33,0,"2","420","D","06","D",196,"D",,"A",,"A",,"A",,"A"
"20143",2810443,25,0,"1","410","D","06","D",80,"D",,"A",,"A",,"A",,"A"
"20143",2810533,37,0,"1","430","D","08","D",.,"H","410","D","415","D",,"A",,"A"
"20143",2810533,37,1,"1","410","D","08","D",8,"E",,"A",,"A",,"A",,"A"
"20143",2810533,37,2,"1","420","D","08","D",87,"E",,"A",,"A",,"A",,"A"
"20143",2810633,45,0,"1","430","D","08","D",.,"H","425","D","415","D",,"A",,"A"
"20143",2810633,45,1,"1","420","D","08","D",61,"E",,"A",,"A",,"A",,"A"
"20143",2810633,45,2,"1","420","D","08","D",17,"E",,"A",,"A",,"A",,"A"
"20143",2810633,46,0,"1","430","D","08","D",.,"H","425","D","415","D",,"A",,"A"
"20143",2810633,46,1,"1","420","D","08","D",61,"E",,"A",,"A",,"A",,"A"
"20143",2810633,46,2,"1","420","D","08","D",17,"E",,"A",,"A",,"A",,"A"
"20143",2810643,35,0,"1","400","D","06","D",26,"D",,"A",,"A",,"A",,"A"
"20143",2810683,33,0,"1","420","D","07","D",128,"D",,"A",,"A",,"A",,"A"
"20143",2810773,34,0,"1","420","D","08","D",405,"D",,"A",,"A",,"A",,"A"
