"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980000",10067,"4",2934001,"1",
"980000",23087,"5",2934001,"1",
"980070",20879,"1",2934001,"1",
"980070",27779,"2",2934001,"1",
"980070",23663,"3",2934001,"1",
"980070",10067,"4",2934001,"1",
"980070",23087,"5",2934001,"1",
"900030",12191,"1",2934002,"1",
"900030",17135,"2",2934002,"1",
"900030",18995,"3",2934002,"1",
"900030",17171,"4",2934002,"1",
"900030",14339,"5",2934002,"1",
"980000",12191,"1",2934002,"1",
"980000",17135,"2",2934002,"1",
"980000",18995,"3",2934002,"1",
"980000",17171,"4",2934002,"1",
"980000",14339,"5",2934002,"1",
"980070",12191,"1",2934002,"1",
"980070",17135,"2",2934002,"1",
"980070",18995,"3",2934002,"1",
"980070",17171,"4",2934002,"1",
"980070",14339,"5",2934002,"1",
"900000",100000,"1",2934011,"1",
"900000",100000,"2",2934011,"1",
"900000",100000,"3",2934011,"1",
"900000",100000,"4",2934011,"1",
"900000",100000,"5",2934011,"1",
"980000",100000,"1",2934011,"1",
"980000",100000,"2",2934011,"1",
"980000",100000,"3",2934011,"1",
"980000",100000,"4",2934011,"1",
"980000",100000,"5",2934011,"1",
"980070",100000,"1",2934011,"1",
"980070",100000,"2",2934011,"1",
"980070",100000,"3",2934011,"1",
"980070",100000,"4",2934011,"1",
"980070",100000,"5",2934011,"1",
"900000",100000,"1",2934012,"1",
"900000",100000,"2",2934012,"1",
"900000",100000,"3",2934012,"1",
"900000",100000,"4",2934012,"1",
"900000",100000,"5",2934012,"1",
"980000",100000,"1",2934012,"1",
"980000",100000,"2",2934012,"1",
"980000",100000,"3",2934012,"1",
"980000",100000,"4",2934012,"1",
"980000",100000,"5",2934012,"1",
"980070",100000,"1",2934012,"1",
"980070",100000,"2",2934012,"1",
"980070",100000,"3",2934012,"1",
"980070",100000,"4",2934012,"1",
"980070",100000,"5",2934012,"1",
"900000",55000,"1",2934021,"1",
"900000",55000,"2",2934021,"1",
"900000",55000,"3",2934021,"1",
"900000",55000,"4",2934021,"1",
"900000",55000,"5",2934021,"1",
"980000",55000,"1",2934021,"1",
"980000",55000,"2",2934021,"1",
"980000",55000,"3",2934021,"1",
